title,show_type,episodes,premiered,studios,source,genres,theme,age_rating,score,ranking,popularity_rank
Major S3,TV,26,Winter 2007,Studio Hibari,Manga,"Drama, Sports",Team Sports,PG-13 - Teens 13 or older,8.241,2812,2335
Naruto Shippuden,TV,500,Winter 2007,Pierrot,Manga,"Action, Adventure, Fantasy",Martial Arts,PG-13 - Teens 13 or older,8.241,2822,16
Nodame Cantabile: Finale,TV,11,Winter 2010,J.C.Staff,Manga,"Comedy, Romance","Adult Cast, Music",PG-13 - Teens 13 or older,8.241,2832,1514
One Piece Movie 14: Stampede,Movie,1,Summer 2019,Toei Animation,Manga,"Action, Adventure, Fantasy",,PG-13 - Teens 13 or older,8.241,2842,1362
The King's Avatar (2018),ONA,3,Spring 2018,"Tencent Animation & Comics, China Literature Limited, Colored Pencil Animation",Novel,Action,Video Game,PG-13 - Teens 13 or older,8.241,2852,1822
Re:ZERO -Starting Life in Another World-,TV,25,Spring 2016,White Fox,Light novel,"Drama, Fantasy, Suspense","Isekai, Psychological, Time Travel",R - 17+ (violence & profanity),8.241,2862,23
Saga of Tanya the Evil: The Movie,Movie,1,Winter 2019,Nut,Light novel,Action,"Isekai, Military, Reincarnation",R - 17+ (violence & profanity),8.241,2872,859
Moriarty the Patriot Season 2,TV,13,Spring 2021,Production I.G,Manga,"Mystery, Suspense","Historical, Psychological",R - 17+ (violence & profanity),8.241,2882,1035
Daily Lives of High School Boys,TV,12,Winter 2012,Sunrise,Web manga,Comedy,"Gag Humor, School",PG-13 - Teens 13 or older,8.241,2892,206
Detective Conan: Episode One - The Great Detective Turned Small,Special,1,Winter 2017,TMS Entertainment,Manga,"Adventure, Comedy, Mystery",Detective,PG-13 - Teens 13 or older,8.241,2902,3700
Legend of the Galactic Heroes: Die Neue These - Stellar War Part 3,Movie,4,Fall 2019,Production I.G,Novel,"Drama, Sci-Fi","Adult Cast, Military, Space",R - 17+ (violence & profanity),8.241,2912,4151
The Legend of Hei,Movie,1,Fall 2019,"None found, add some",Original,"Adventure, Drama, Fantasy",,G - All Ages,8.241,2922,4519
Dororo,TV,24,Winter 2019,"Tezuka Productions, MAPPA",Manga,"Action, Adventure, Supernatural","Historical, Mythology, Samurai",R - 17+ (violence & profanity),8.231,2932,116
Golden Kamuy: Season 2,TV,12,Fall 2018,Geno Studio,Manga,"Action, Adventure",Historical,R - 17+ (violence & profanity),8.231,2942,1213
Hajime no Ippo: Mashiba vs. Kimura,OVA,1,Fall 2003,Madhouse,Manga,Sports,Combat Sports,PG-13 - Teens 13 or older,8.231,2952,1854
Kuroko's Basketball 2,TV,25,Fall 2013,Production I.G,Manga,Sports,"School, Team Sports",PG-13 - Teens 13 or older,8.231,2962,192
